!Note: First column is hrs from 12:00 UTC 21 Sep 2014; Second column is grain size class (micron); Third column is volumeric concentration (10**-2 ml/l) for each grain size class
     0.906    27.700    0.45179
     0.906    32.700    0.48831
     0.906    38.500    0.54154
     0.906    45.500    0.58005
     0.906    53.700    0.60066
     0.906    63.300    0.59527
     0.906    74.700    0.57057
     0.906    88.200    0.52562
     0.906   104.000    0.42804
     0.906   128.000    0.35348
     0.906   157.000    0.31546
     0.906   186.000    0.25206
     0.906   219.000    0.16938
     0.906   259.000    0.13128
     0.906   293.000    0.12159
     0.906   332.000    0.06342
     0.906   391.000    0.01127
     0.906   462.000    0.00000
     0.989     2.730    0.06596
     0.989     3.220    0.07760
     0.989     3.800    0.09851
     0.989     4.480    0.12878
     0.989     5.290    0.16579
     0.989     6.240    0.19922
     0.989     7.360    0.23645
     0.989     8.690    0.29001
     0.989    10.200    0.32155
     0.989    12.100    0.36946
     0.989    14.300    0.46307
     0.989    16.800    0.51029
     0.989    19.900    0.52595
     0.989    23.500    0.51106
     0.989    27.700    0.49526
     0.989    32.700    0.53783
     0.989    38.500    0.58073
     0.989    45.500    0.58476
     0.989    53.700    0.57755
     0.989    63.300    0.56580
     0.989    74.700    0.57190
     0.989    88.200    0.57215
     0.989   104.000    0.53088
     0.989   128.000    0.44567
     0.989   157.000    0.39720
     0.989   186.000    0.34589
     0.989   219.000    0.26870
     0.989   259.000    0.24477
     0.989   293.000    0.31787
     0.989   332.000    0.34611
     0.989   391.000    0.16241
     0.989   462.000    0.02863
     1.071     2.730    0.04539
     1.071     3.220    0.05797
     1.071     3.800    0.08163
     1.071     4.480    0.11977
     1.071     5.290    0.16627
     1.071     6.240    0.20206
     1.071     7.360    0.23495
     1.071     8.690    0.28429
     1.071    10.200    0.30767
     1.071    12.100    0.35492
     1.071    14.300    0.43075
     1.071    16.800    0.47172
     1.071    19.900    0.52092
     1.071    23.500    0.49005
     1.071    27.700    0.46519
     1.071    32.700    0.51443
     1.071    38.500    0.58960
     1.071    45.500    0.60191
     1.071    53.700    0.57420
     1.071    63.300    0.56028
     1.071    74.700    0.60228
     1.071    88.200    0.69481
     1.071   104.000    0.80580
     1.071   128.000    0.82263
     1.071   157.000    0.69062
     1.071   186.000    0.40659
     1.071   219.000    0.20228
     1.071   259.000    0.12436
     1.071   293.000    0.11353
     1.071   332.000    0.14264
     1.071   391.000    0.14493
     1.071   462.000    0.06676
     1.153     2.730    0.04542
     1.153     3.220    0.05655
     1.153     3.800    0.07836
     1.153     4.480    0.11477
     1.153     5.290    0.16163
     1.153     6.240    0.19806
     1.153     7.360    0.22030
     1.153     8.690    0.25644
     1.153    10.200    0.29617
     1.153    12.100    0.34569
     1.153    14.300    0.41529
     1.153    16.800    0.46301
     1.153    19.900    0.49861
     1.153    23.500    0.47860
     1.153    27.700    0.44917
     1.153    32.700    0.50482
     1.153    38.500    0.56607
     1.153    45.500    0.61420
     1.153    53.700    0.66074
     1.153    63.300    0.64464
     1.153    74.700    0.64397
     1.153    88.200    0.61883
     1.153   104.000    0.51706
     1.153   128.000    0.40084
     1.153   157.000    0.29660
     1.153   186.000    0.20012
     1.153   219.000    0.14491
     1.153   259.000    0.15536
     1.153   293.000    0.22623
     1.153   332.000    0.55466
     1.153   391.000    0.83231
     1.153   462.000    0.32423
     1.236     2.730    0.04277
     1.236     3.220    0.05322
     1.236     3.800    0.07290
     1.236     4.480    0.10429
     1.236     5.290    0.14278
     1.236     6.240    0.17354
     1.236     7.360    0.20198
     1.236     8.690    0.24887
     1.236    10.200    0.27760
     1.236    12.100    0.30136
     1.236    14.300    0.37378
     1.236    16.800    0.43338
     1.236    19.900    0.43253
     1.236    23.500    0.40643
     1.236    27.700    0.39633
     1.236    32.700    0.43537
     1.236    38.500    0.49151
     1.236    45.500    0.51590
     1.236    53.700    0.53444
     1.236    63.300    0.55151
     1.236    74.700    0.60739
     1.236    88.200    0.65219
     1.236   104.000    0.62365
     1.236   128.000    0.56054
     1.236   157.000    0.44365
     1.236   186.000    0.28899
     1.236   219.000    0.18959
     1.236   259.000    0.13662
     1.236   293.000    0.11287
     1.236   332.000    0.13808
     1.236   391.000    0.07809
     1.236   462.000    0.01953
     1.318     2.730    0.05185
     1.318     3.220    0.06221
     1.318     3.800    0.08195
     1.318     4.480    0.11301
     1.318     5.290    0.15193
     1.318     6.240    0.18316
     1.318     7.360    0.20462
     1.318     8.690    0.23794
     1.318    10.200    0.27196
     1.318    12.100    0.30999
     1.318    14.300    0.37352
     1.318    16.800    0.45001
     1.318    19.900    0.49052
     1.318    23.500    0.45857
     1.318    27.700    0.46681
     1.318    32.700    0.54079
     1.318    38.500    0.63830
     1.318    45.500    0.69946
     1.318    53.700    0.69905
     1.318    63.300    0.64166
     1.318    74.700    0.59463
     1.318    88.200    0.55428
     1.318   104.000    0.43079
     1.318   128.000    0.31584
     1.318   157.000    0.20682
     1.318   186.000    0.14566
     1.318   219.000    0.13111
     1.318   259.000    0.12466
     1.318   293.000    0.11035
     1.318   332.000    0.08087
     1.318   391.000    0.02114
     1.318   462.000    0.00000
     1.400     2.730    0.03895
     1.400     3.220    0.04976
     1.400     3.800    0.07009
     1.400     4.480    0.10328
     1.400     5.290    0.14348
     1.400     6.240    0.17321
     1.400     7.360    0.19973
     1.400     8.690    0.24778
     1.400    10.200    0.27456
     1.400    12.100    0.28960
     1.400    14.300    0.35646
     1.400    16.800    0.43800
     1.400    19.900    0.47885
     1.400    23.500    0.45171
     1.400    27.700    0.44850
     1.400    32.700    0.51780
     1.400    38.500    0.55321
     1.400    45.500    0.55193
     1.400    53.700    0.54624
     1.400    63.300    0.52045
     1.400    74.700    0.51552
     1.400    88.200    0.53349
     1.400   104.000    0.54970
     1.400   128.000    0.54849
     1.400   157.000    0.46378
     1.400   186.000    0.31343
     1.400   219.000    0.26490
     1.400   259.000    0.29735
     1.400   293.000    0.30802
     1.400   332.000    0.30247
     1.400   391.000    0.14027
     1.400   462.000    0.03914
     1.483     2.730    0.03957
     1.483     3.220    0.05172
     1.483     3.800    0.07445
     1.483     4.480    0.11023
     1.483     5.290    0.15086
     1.483     6.240    0.17977
     1.483     7.360    0.21185
     1.483     8.690    0.26504
     1.483    10.200    0.27664
     1.483    12.100    0.30706
     1.483    14.300    0.39333
     1.483    16.800    0.45399
     1.483    19.900    0.51441
     1.483    23.500    0.48700
     1.483    27.700    0.46903
     1.483    32.700    0.51828
     1.483    38.500    0.57108
     1.483    45.500    0.59044
     1.483    53.700    0.60308
     1.483    63.300    0.59848
     1.483    74.700    0.60643
     1.483    88.200    0.59031
     1.483   104.000    0.50639
     1.483   128.000    0.38654
     1.483   157.000    0.23354
     1.483   186.000    0.11648
     1.483   219.000    0.07424
     1.483   259.000    0.06821
     1.483   293.000    0.06592
     1.483   332.000    0.06496
     1.483   391.000    0.02666
     1.483   462.000    0.00728
     1.565     2.730    0.03815
     1.565     3.220    0.04987
     1.565     3.800    0.07202
     1.565     4.480    0.10633
     1.565     5.290    0.14470
     1.565     6.240    0.17325
     1.565     7.360    0.21129
     1.565     8.690    0.27990
     1.565    10.200    0.29908
     1.565    12.100    0.31737
     1.565    14.300    0.38653
     1.565    16.800    0.44355
     1.565    19.900    0.48891
     1.565    23.500    0.44978
     1.565    27.700    0.42132
     1.565    32.700    0.46941
     1.565    38.500    0.56435
     1.565    45.500    0.62551
     1.565    53.700    0.65409
     1.565    63.300    0.66915
     1.565    74.700    0.73107
     1.565    88.200    0.71875
     1.565   104.000    0.62109
     1.565   128.000    0.47673
     1.565   157.000    0.36068
     1.565   186.000    0.23684
     1.565   219.000    0.15863
     1.565   259.000    0.12677
     1.565   293.000    0.08094
     1.565   332.000    0.04978
     1.565   391.000    0.01317
     1.565   462.000    0.00000
     1.648     2.730    0.04306
     1.648     3.220    0.05711
     1.648     3.800    0.08382
     1.648     4.480    0.12539
     1.648     5.290    0.16879
     1.648     6.240    0.19173
     1.648     7.360    0.21665
     1.648     8.690    0.27858
     1.648    10.200    0.31015
     1.648    12.100    0.33419
     1.648    14.300    0.41363
     1.648    16.800    0.47090
     1.648    19.900    0.50813
